crop_parent,crop,crop_name,harvested_area,year,geo,id,value_of_production
Cereals,maiz,Maize,1670220,2005,040AF00133,maiz,413671672
Pulses,bean,Bean,938996,2005,040AF00133,bean,238877684
Pulses,pige,Pigeonpea,190728,2005,040AF00133,pige,55649672
Stimulants,acof,Arabica coffee,169998,2005,040AF00133,acof,50828325
Cereals,whea,Wheat,154263,2005,040AF00133,whea,56669161
Stimulants,teas,Tea,141692,2005,040AF00133,teas,341618139
Vegetables,vege,Vegetables,139002,2005,040AF00133,vege,428062922
Cereals,sorg,Sorghum,136453,2005,040AF00133,sorg,17961394
Roots & Tubers,pota,Potato,127090,2005,040AF00133,pota,345441462
Pulses,cowp,Cowpea,119935,2005,040AF00133,cowp,17159811
Cereals,pmil,Pearl Millet,114450,2005,040AF00133,pmil,11054836
Oil Crops,ooil,Other Oil Crops,107836,2005,040AF00133,ooil,14646978
Fruits,bana,Banana,82646,2005,040AF00133,bana,331376179
Fruits,trof,Tropical Fruit,80237,2005,040AF00133,trof,438885944
Pulses,opul,Other Pulses,76633,2005,040AF00133,opul,10192636
Fibres,cott,Cotton,57801,2005,040AF00133,cott,14460234
Sugar Crops,sugc,Sugarcane,55116,2005,040AF00133,sugc,157573540
Roots & Tubers,cass,Cassava,54878,2005,040AF00133,cass,57359682
Roots & Tubers,swpo,Sweet Potato,53308,2005,040AF00133,swpo,49538825
Oil Crops,sesa,Sesameseed,28859,2005,040AF00133,sesa,6745830
Fibres,ofib,Other Fibre Crops,23927,2005,040AF00133,ofib,15246690
Oil Crops,cnut,Coconut,22808,2005,040AF00133,cnut,6859650
Oil Crops,grou,Groundnut,18931,2005,040AF00133,grou,9897109
Cereals,rice,Rice,17422,2005,040AF00133,rice,16423481
Cereals,barl,Barley,17042,2005,040AF00133,barl,6404340
Stimulants,toba,Tobacco,15726,2005,040AF00133,toba,34300092
Oil Crops,sunf,Sunflower,12996,2005,040AF00133,sunf,3486102
Fruits,temf,Temperate Fruit,10441,2005,040AF00133,temf,44845219
Cereals,ocer,Other Cereals,3344,2005,040AF00133,ocer,471796
Oil Crops,soyb,Soybean,2951,2005,040AF00133,soyb,770212
Roots & Tubers,orts,Other Roots,2847,2005,040AF00133,orts,3452690
Pulses,lent,Lentil,2231,2005,040AF00133,lent,612540
Fruits,plnt,Plantain,2168,2005,040AF00133,plnt,5505608
Roots & Tubers,yams,Yams,866,2005,040AF00133,yams,1950210
Pulses,chic,Chickpea,415,2005,040AF00133,chic,58570
Oil Crops,rape,Rapeseed,0,2005,040AF00133,rape,0
Cereals,smil,Small Millet,0,2005,040AF00133,smil,0
Stimulants,coco,Cocoa,0,2005,040AF00133,coco,0
Oil Crops,oilp,Oilpalm,0,2005,040AF00133,oilp,0
Stimulants,rcof,Robusta Coffee,0,2005,040AF00133,rcof,0
